"ano";"cod_mun";"amc";"regiao";"polos";"cod_uf";"uf";"semiarido";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta";"est_pop"
2009;"1100023";"1002";"Norte";0;11;"RO";0;"ARIQUEMES (RO)";0;0;0;1200;0;0;0;400;0;0;0;462.784780106011;0;0;0;0;1947;370;10252463.729194;41556.9040161112;113808.519845594;272916.26817595;185266.208130299;613547.900167954;81915.0389396538;695462.939107608;8130.17110071067;"85541"
2009;"1100031";"1001";"Norte";0;11;"RO";0;"CABIXI (RO)";0;0;0;31500;0;0;0;10500;0;0;0;12180.3235559732;0;0;0;0;67;287;2719347.45235222;17294.0168132111;1779.74935102289;6897.58557545673;14936.0227896291;40907.3751430928;1919.24581848729;42826.6209615801;6396.80886550486;"6695"
2009;"1100049";"1003";"Norte";0;11;"RO";0;"CACOAL (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1613;945;10507747.8561251;49115.5788774952;73926.9912544961;247820.08664709;167499.060780678;538361.716945986;66498.5049942764;604860.222554035;7688.08888112585;"78675"
2009;"1100056";"1001";"Norte";0;11;"RO";0;"CEREJEIRAS (RO)";0;0;0;61500;0;0;0;20500;0;0;0;23780.6317045191;0;0;0;1427.02203414652;368;443;9886539.42302498;21286.2487457561;9454.59424012603;38701.6483600782;35749.5154004548;105192.006746415;11978.549391847;117170.556138262;7049.12672266224;"16622"
2009;"1100064";"1001";"Norte";0;11;"RO";0;"COLORADO DO OESTE (RO)";0;0;0;9000;0;0;0;3000;0;0;0;3480.09244456377;0;0;0;0;387;495;8431904.73347598;20145.0932894461;12552.7100194103;29261.15739406;36720.5661476571;98679.5262368005;8220.06857867856;106899.594815479;5998.18176850824;"17822"
2009;"1100072";"1001";"Norte";0;11;"RO";0;"CORUMBIARA (RO)";0;0;0;72000;0;0;0;20000;0;0;0;27840.7395565102;0;0;0;0;64;651;8888304.71011476;35032.4978987015;4688.35353530793;9421.75738901771;20920.4247423573;70063.0341791574;3114.66862110746;73177.7021864919;7559.68144896938;"9680"
2009;"1100080";"1001";"Norte";0;11;"RO";0;"COSTA MARQUES (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;208;2277289.76527093;10518.609488567;4288.70082376547;13426.9841217807;29927.534947448;58161.829995334;3125.58948263588;61287.4194779699;4240.75963492025;"14452"
2009;"1100098";"1004";"Norte";0;11;"RO";0;"ESPIGAO D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;521;310;5463121.30530908;33487.3466736819;20650.0903019815;50541.1800273367;57849.5441760189;162528.161179019;16380.8565138535;178909.017692873;6192.33655563149;"28892"
2009;"1100106";"1001";"Norte";0;11;"RO";0;"GUAJARA MIRIM (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;541;120;1192487.05310105;10123.7515710593;10506.309479292;151306.746714386;84007.5092749905;255944.317039728;63894.944722648;319839.261762376;7846.50367123906;"40762"
2009;"1100114";"1002";"Norte";0;11;"RO";0;"JARU (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1110;993;14378512.5937829;53892.5563119663;91699.8816773105;141467.600417817;111057.963415217;398118.001822311;45055.0733006533;443173.075122965;8215.58373996737;"53943"
2009;"1100122";"1005";"Norte";0;11;"RO";0;"JI PARANA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2985;363;15064109.8016338;39187.4281425538;168329.598652463;443351.732757683;222405.143380857;873273.902319785;133524.771838614;1006798.6741584;9069.4400724505;"111010"
2009;"1100130";"1002";"Norte";0;11;"RO";0;"MACHADINHO D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285;1325;8974426.78493636;33187.0564322744;13326.9348397506;32056.8905800596;67777.5205994516;146348.402451536;9818.99060771775;156167.393059254;4709.65145555949;"33159"
2009;"1100148";"1005";"Norte";0;11;"RO";0;"NOVA BRASILANDIA D OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;248;975;4491163.00278176;21276.8481997453;7265.61977513292;25792.7211109803;38164.9106948658;92500.0997807244;8392.22206178633;100892.321228738;5700.77810113374;"17698"
2009;"1100155";"1005";"Norte";0;11;"RO";0;"OURO PRETO DO OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;753;399;8466026.69004436;39861.1924530089;19224.3891071543;85625.8719474317;77793.362912494;222504.816420089;22814.2235356679;245319.039955757;6679.89321070445;"36725"
2009;"1100189";"1004";"Norte";0;11;"RO";0;"PIMENTA BUENO (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;916;306;10612294.657415;20934.9018041721;43358.0807934713;112447.185630441;70211.9753842826;246952.143612367;42672.7143335489;289624.857945916;8522.39040844429;"33984"
2009;"1100205";"1006";"Norte";0;11;"RO";0;"PORTO VELHO (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5771;755;11872016.3845684;99327.9828485313;1009720.92251465;1668347.17147985;825256.959779711;3602653.03600897;596752.721156047;4199405.75716502;10969.4048284945;"382829"
2009;"1100254";"1005";"Norte";0;11;"RO";0;"PRESIDENTE MEDICI (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293;943;10411682.1567396;28640.83060893;13757.1663318363;33939.3370294806;46274.419130295;122611.753714315;10082.4471087754;132694.20082309;5892.54531160632;"22519"
2009;"1100262";"1002";"Norte";0;11;"RO";0;"RIO CRESPO (RO)";0;0;0;54;0;0;0;20;0;0;0;20.8682792090244;0;0;0;0;65;69;1755246.05694709;11454.863607734;1324.20954643992;2449.35780505079;8376.17803771209;23604.6096107097;992.550598743812;24597.1602094536;7476.34336217522;"3290"
2009;"1100288";"1003";"Norte";0;11;"RO";0;"ROLIM DE MOURA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1152;1102;10379647.279739;25053.6102392738;55722.6872129561;129338.524445398;103545.38535506;313660.207252688;36803.1235152996;350463.330767988;6940.00403558658;"50499"
2009;"1100304";"1001";"Norte";0;11;"RO";0;"VILHENA (RO)";0;0;0;118560;0;0;0;38000;0;0;0;45844.540557637;0;0;0;0;1396;279;16361173.6449695;35606.814424586;124976.212608041;334145.663403579;158829.47535106;653558.166401039;110581.988041333;764140.154442371;10937.2247144083;"69866"
2009;"1100320";"1001";"Norte";0;11;"RO";0;"SAO MIGUEL DO GUAPORE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;1345;9446822.21779838;38895.7123088096;18447.443431469;29022.0001628224;47916.5342008864;134281.690103987;9822.40134382259;144104.09144781;6211.11800691961;"23201"
2009;"1100379";"1001";"Norte";0;11;"RO";0;"ALTO ALEGRE DOS PARECIS (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;598;4983498.70247638;28096.2366503684;4297.11442292422;12712.2774750634;26183.092962231;71288.720896814;4392.49657568657;75681.2174725005;6373.15405724851;"11875"
2009;"1100403";"1002";"Norte";0;11;"RO";0;"ALTO PARAISO (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;198;1524419.08678153;23662.9751187928;3920.89372006891;19729.7740241739;36579.8065355276;83893.4493985632;6322.23975238891;90215.6891509521;5134.93471038105;"17569"
2009;"1100452";"1006";"Norte";0;11;"RO";0;"BURITIS (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;669;5974478.57039504;38349.6201305553;15574.2109804432;41494.4470977573;70237.8766014185;165656.154196401;12807.0090285327;178463.163838707;5144.06765139958;"34693"
2009;"1100502";"1003";"Norte";0;11;"RO";0;"NOVO HORIZONTE DO OESTE (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;621;5583596.23193306;19063.7272943886;3125.98168353043;10612.5689157056;19835.4399421759;52637.7178358006;3732.85579384557;56370.5736296461;5799.44209768817;"9720"
2009;"1100601";"1002";"Norte";0;11;"RO";0;"CACAULANDIA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;91;3318465.19768685;19700.5375650021;1344.35848378915;4704.11583761284;13401.253533516;39150.26541992;1866.57121289912;41016.8366328191;7150.77365559773;"5736"
2009;"1100700";"1006";"Norte";0;11;"RO";0;"CAMPO NOVO DE RONDONIA (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;230;1298035.50110427;21263.5851807622;2862.53745793111;6579.91082992234;27589.8568074489;58295.8902760645;2304.39446220655;60600.285352044;4692.23871787831;"12915"
2009;"1100809";"1006";"Norte";0;11;"RO";0;"CANDEIAS DO JAMARI (RO)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;67;689571.270877501;12826.679223006;23444.5437714473;21494.1354743718;37473.475862104;95238.8343309292;7012.56058730469;102251.394918234;5827.28897497386;"17547"
