"ano";"chave";"estado";"municipio";"total.contratos";"valores.totais"
2007;" ACRELANDIA (AC)";"AC";" ACRELANDIA";807;4805732.27
2007;" ASSIS BRASIL (AC)";"AC";" ASSIS BRASIL";76;921760.71
2007;" BRASILEIA (AC)";"AC";" BRASILEIA";468;2937560.53
2007;" BUJARI (AC)";"AC";" BUJARI";133;6750144.32
2007;" CAPIXABA (AC)";"AC";" CAPIXABA";200;2101982.83
2007;" CRUZEIRO DO SUL (AC)";"AC";" CRUZEIRO DO SUL";233;1082459.46
2007;" EPITACIOLANDIA (AC)";"AC";" EPITACIOLANDIA";441;1084894.45
2007;" FEIJO (AC)";"AC";" FEIJO";113;1084659.2
2007;" MANCIO LIMA (AC)";"AC";" MANCIO LIMA";52;117208.53
2007;" MANOEL URBANO (AC)";"AC";" MANOEL URBANO";24;358459
2007;" PLACIDO DE CASTRO (AC)";"AC";" PLACIDO DE CASTRO";354;3235337.75
2007;" PORTO ACRE (AC)";"AC";" PORTO ACRE";393;3346643.66
2007;" PORTO WALTER (AC)";"AC";" PORTO WALTER";166;264852.18
2007;" RIO BRANCO (AC)";"AC";" RIO BRANCO";878;16563894.55
2007;" RODRIGUES ALVES (AC)";"AC";" RODRIGUES ALVES";138;170377.62
2007;" SENA MADUREIRA (AC)";"AC";" SENA MADUREIRA";482;6168382.88
2007;" SENADOR GUIOMARD (AC)";"AC";" SENADOR GUIOMARD";588;4547469.2
2007;" TARAUACA (AC)";"AC";" TARAUACA";81;2975993.87
2007;" XAPURI (AC)";"AC";" XAPURI";119;5668598.89
2007;" AGUA BRANCA (AL)";"AL";" AGUA BRANCA";351;348612.88
2007;" ANADIA (AL)";"AL";" ANADIA";137;6820047.52
2007;" ARAPIRACA (AL)";"AL";" ARAPIRACA";1859;18699152.78
2007;" ATALAIA (AL)";"AL";" ATALAIA";752;8299599.39
2007;" BARRA DE SANTO ANTONIO (AL)";"AL";" BARRA DE SANTO ANTONIO";10;691465.6
2007;" BARRA DE SAO MIGUEL (AL)";"AL";" BARRA DE SAO MIGUEL";3;3000
2007;" BATALHA (AL)";"AL";" BATALHA";438;1421260.01
2007;" BELEM (AL)";"AL";" BELEM";82;124489.06
2007;" BELO MONTE (AL)";"AL";" BELO MONTE";831;990509.49
2007;" BOCA DA MATA (AL)";"AL";" BOCA DA MATA";570;12118050.79
2007;" BRANQUINHA (AL)";"AL";" BRANQUINHA";342;1361707.36
2007;" CACIMBINHAS (AL)";"AL";" CACIMBINHAS";239;941174.09
2007;" CAJUEIRO (AL)";"AL";" CAJUEIRO";79;322139.4
2007;" CAMPESTRE (AL)";"AL";" CAMPESTRE";92;746358.77
2007;" CAMPO ALEGRE (AL)";"AL";" CAMPO ALEGRE";43;3016031.45
2007;" CAMPO GRANDE (AL)";"AL";" CAMPO GRANDE";467;1032899.47
2007;" CANAPI (AL)";"AL";" CANAPI";1123;1862494.6
2007;" CAPELA (AL)";"AL";" CAPELA";112;822913.23
2007;" CARNEIROS (AL)";"AL";" CARNEIROS";204;226040.82
2007;" CHA PRETA (AL)";"AL";" CHA PRETA";430;1975631.34
2007;" COITE DO NOIA (AL)";"AL";" COITE DO NOIA";454;703935.01
2007;" COLONIA LEOPOLDINA (AL)";"AL";" COLONIA LEOPOLDINA";176;1094434.46
2007;" COQUEIRO SECO (AL)";"AL";" COQUEIRO SECO";26;24999.1
2007;" CORURIPE (AL)";"AL";" CORURIPE";1160;39513940.39
2007;" CRAIBAS (AL)";"AL";" CRAIBAS";2175;4444417.93
2007;" DELMIRO GOUVEIA (AL)";"AL";" DELMIRO GOUVEIA";763;906847.76
2007;" DOIS RIACHOS (AL)";"AL";" DOIS RIACHOS";1133;1331978.13
2007;" ESTRELA DE ALAGOAS (AL)";"AL";" ESTRELA DE ALAGOAS";762;1421022.59
2007;" FEIRA GRANDE (AL)";"AL";" FEIRA GRANDE";1332;2333348.66
2007;" FELIZ DESERTO (AL)";"AL";" FELIZ DESERTO";24;546977.93
2007;" FLEXEIRAS (AL)";"AL";" FLEXEIRAS";15;705893.43
2007;" GIRAU DO PONCIANO (AL)";"AL";" GIRAU DO PONCIANO";1461;3085184.8
2007;" IBATEGUARA (AL)";"AL";" IBATEGUARA";205;592147.75
2007;" IGACI (AL)";"AL";" IGACI";769;3073336.21
2007;" IGREJA NOVA (AL)";"AL";" IGREJA NOVA";1948;4056945.76
2007;" INHAPI (AL)";"AL";" INHAPI";511;672368.95
2007;" JACARE DOS HOMENS (AL)";"AL";" JACARE DOS HOMENS";356;362783.43
2007;" JACUIPE (AL)";"AL";" JACUIPE";63;774535.06
2007;" JAPARATINGA (AL)";"AL";" JAPARATINGA";231;282290.76
2007;" JARAMATAIA (AL)";"AL";" JARAMATAIA";166;232387.77
2007;" JEQUIA DA PRAIA (AL)";"AL";" JEQUIA DA PRAIA";143;331547
2007;" JOAQUIM GOMES (AL)";"AL";" JOAQUIM GOMES";130;568293.25
2007;" JUNDIA (AL)";"AL";" JUNDIA";112;186611.01
2007;" JUNQUEIRO (AL)";"AL";" JUNQUEIRO";869;3956952.27
2007;" LAGOA DA CANOA (AL)";"AL";" LAGOA DA CANOA";398;789081.95
2007;" LIMOEIRO DE ANADIA (AL)";"AL";" LIMOEIRO DE ANADIA";205;1376816.46
2007;" MACEIO (AL)";"AL";" MACEIO";565;46191723.57
